scope,feature,component,loading,region,tenor_years,abs_loading
Global,US_30Y,PC3,0.3397010542560829,US,30,0.3397010542560829
Global,EA_2Y,PC3,-0.32315393572935885,EA,2,0.32315393572935885
Global,EA_5Y,PC3,-0.2766856432754078,EA,5,0.2766856432754078
Global,EA_10Y,PC3,-0.2506350918490468,EA,10,0.2506350918490468
Global,EA_20Y,PC3,-0.2579619931011246,EA,20,0.2579619931011246
Global,EA_30Y,PC3,-0.2469524699500628,EA,30,0.2469524699500628
Global,JP_2Y,PC3,-0.16411988838465422,JP,2,0.16411988838465422
Global,JP_5Y,PC3,-0.1514518987475226,JP,5,0.1514518987475226
Global,JP_10Y,PC3,-0.12389998435919417,JP,10,0.12389998435919417
Global,JP_20Y,PC3,-0.11132787712295239,JP,20,0.11132787712295239
Global,JP_30Y,PC3,-0.10789403687464531,JP,30,0.10789403687464531
Global,US_2Y,PC4,-0.3369635270654406,US,2,0.3369635270654406
Global,US_5Y,PC4,-0.18483067110376217,US,5,0.18483067110376217
